hs12	9220260	9268825	hs3	53846362	53880417
hs3	53846362	53880417	hs4	152330368	152584784
hs3	53846362	53880417	hs15	83509838	83654661
hs3	53846362	53880417	hs2	64068074	64118696
hs3	53846362	53880417	hs1	160061130	160068733
hs3	53846362	53880417	hs17	79989500	79992080
hs12	125549925	125627873	hs2	120124497	120130126
hs12	125549925	125627873	hs1	220921567	220958150
hs12	125549925	125627873	hsX	153759606	153775787
hs12	125549925	125627873	hs10	1085848	1095110
hs12	125549925	125627873	hs19	49298319	49314286
hs12	125549925	125627873	hs11	118398187	118401912
hs12	125549925	125627873	hs17	80036214	80056208
hs12	125549925	125627873	hs18	71920530	71959251
hs12	125549925	125627873	hs16	75145758	75150669
hs12	125549925	125627873	hs17	35441923	35766909
hs1	220921567	220958150	hs12	133264192	133297276
hs1	220921567	220958150	hs3	160822484	160971320
hsX	153759606	153775787	hs16	88718343	88729569
hs10	1085848	1095110	hs5	6599352	6633404
hs19	49298319	49314286	hs1	230972865	231005335
hs19	49298319	49314286	hs6	64429876	66417118
hs19	49298319	49314286	hs1	24128375	24165110
hs19	49298319	49314286	hs15	76507696	76603813
hs17	80036214	80056208	hs3	182733006	182833863
hs17	80036214	80056208	hs9	139745395	139755249
hs17	80036214	80056208	hs13	100741269	101182686
hs17	80036214	80056208	hsX	99899215	99926296
hs17	80036214	80056208	hs16	75145758	75150669
hs17	80036214	80056208	hs7	155089486	155101945
hs18	71920530	71959251	hs19	13001840	13025021
hs18	71920530	71959251	hsX	153759606	153775787
hs18	71920530	71959251	hs10	124134212	124191867
hs18	71920530	71959251	hs2	209100951	209130798
hs18	71920530	71959251	hs12	48057070	48099844
hs18	71920530	71959251	hs1	154127784	154167124
hs18	71920530	71959251	hs2	120124497	120130126
hs18	71920530	71959251	hs3	182733006	182833863
hs18	71920530	71959251	hs17	30469473	30580393
hs18	71920530	71959251	hs17	80036214	80056208
hs16	75145758	75150669	hs3	179322478	179345435
hs16	75145758	75150669	hs8	145106167	145118735
hs16	75145758	75150669	hs3	135969148	136056738
hs16	75145758	75150669	hs17	48172101	48189516
hs16	75145758	75150669	hs12	133264192	133297276
hs16	75145758	75150669	hsX	99929488	99987110
hs16	75145758	75150669	hs17	7184986	7191576
hs16	75145758	75150669	hs6	166778407	166796486
hs16	75145758	75150669	hs5	70883115	70954531
hs16	75145758	75150669	hs3	182733006	182833863
hs17	35441923	35766909	hs3	53258723	53290068
hs17	35441923	35766909	hs4	140417095	140527853
hs17	35441923	35766909	hs15	85359911	85416713
hs17	35441923	35766909	hs6	80816364	81055987
hs17	35441923	35766909	hs9	214854	465259
hs17	35441923	35766909	hs6	160181360	160200144
hs17	35441923	35766909	hsX	153759606	153775787
hs17	35441923	35766909	hs15	41056218	41059906
hs17	35441923	35766909	hs15	41523037	41574043
hs17	35441923	35766909	hs5	70883115	70954531
hs17	35441923	35766909	hs3	182733006	182833863
hs17	35441923	35766909	hs16	75145758	75150669
hs17	35441923	35766909	hs18	71920530	71959251
hs15	67493371	67547533	hs11	64879317	64883856
hs15	67493371	67547533	hs2	219081817	219119079
hs2	219081817	219119079	hs6	43597277	43608689
hs2	219081817	219119079	hs4	106629935	106768885
