"SUID","EdgeBetweenness","interaction","MI sano","MI_","name","selected","shared interaction","shared name"
"36017","4127.89234939","0.178935",,"0.178935","SLC35E4 (0.178935) ZKSCAN4","false","0.178935","SLC35E4 (0.178935) ZKSCAN4"
"36018","8426.0","0.175601",,"0.175601","HAUS3 (0.175601) NUDT19","false","0.175601","HAUS3 (0.175601) NUDT19"
"36019","14972.23066037","0.176215",,"0.176215","HAUS3 (0.176215) TSC22D2","false","0.176215","HAUS3 (0.176215) TSC22D2"
"36020","8426.0","0.177603",,"0.177603","HAUS3 (0.177603) ZNF721","false","0.177603","HAUS3 (0.177603) ZNF721"
"36021","13444.80607828","0.179288",,"0.179288","HAUS3 (0.179288) ZNF91","false","0.179288","HAUS3 (0.179288) ZNF91"
"36022","1254.62494046","0.179445",,"0.179445","HAUS3 (0.179445) ZNF675","false","0.179445","HAUS3 (0.179445) ZNF675"
"36023","13494.67366054","0.183015",,"0.183015","HAUS3 (0.183015) ZBTB21","false","0.183015","HAUS3 (0.183015) ZBTB21"
"36024","3822.271715","0.184657",,"0.184657","HAUS3 (0.184657) KCTD6","false","0.184657","HAUS3 (0.184657) KCTD6"
"36025","7592.46314964","0.187644",,"0.187644","HAUS3 (0.187644) ZFP30","false","0.187644","HAUS3 (0.187644) ZFP30"
"36026","1928.49537133","0.19087",,"0.19087","HAUS3 (0.19087) LYSMD1","false","0.19087","HAUS3 (0.19087) LYSMD1"
"36027","693.04293845","0.195075",,"0.195075","HAUS3 (0.195075) ZNF624","false","0.195075","HAUS3 (0.195075) ZNF624"
"36028","8663.18373596","0.224243",,"0.224243","HAUS3 (0.224243) LARP4B","false","0.224243","HAUS3 (0.224243) LARP4B"
"36029","8384.06981028","0.19707",,"0.19707","FREM1 (0.19707) MCUR1","false","0.19707","FREM1 (0.19707) MCUR1"
"36030","821.1543598","0.202911",,"0.202911","FREM1 (0.202911) SLC24A3","false","0.202911","FREM1 (0.202911) SLC24A3"
"36031","17299.76700215","0.206513",,"0.206513","FREM1 (0.206513) NQO1","false","0.206513","FREM1 (0.206513) NQO1"
"36032","6391.16794215","0.216592",,"0.216592","FREM1 (0.216592) MTCH2","false","0.216592","FREM1 (0.216592) MTCH2"
"36033","16881.93018972","0.17867",,"0.17867","MCUR1 (0.17867) MTCH2","false","0.17867","MCUR1 (0.17867) MTCH2"
