hs12	9067664	9116229	1
hs3	53812335	53846390	1
hs12	125065379	125143333	10
hs2	119366921	119372560	5
hs1	220748225	220784815	4
hsX	154531391	154547572	4
hs10	1039908	1049170	5
hs19	48795062	48811029	8
hs11	118527472	118531197	1
hs17	82078333	82098332	1
hs18	74250847	74292016	16
hs16	75111860	75116771	33
hs17	37084988	37406818	18
hs15	67201033	67255195	1
hs11	65111845	65116384	2
hs2	218217094	218254356	4
hs15	65530418	65578352	1
hs2	69457997	69674349	2
hs16	2429394	2458854	2
hs17	10672474	10698375	22
hs11	77821109	77918432	7
hs9	127866480	127877743	3
hs2	218264123	218270257	3
hsX	48973720	49002264	1
hs11	62676498	62679117	5
hs9	136862119	136866286	3
hs2	219279267	219286900	1
hs2	27381194	27409687	15
hs11	65961689	65979828	6
hs6	44299654	44313326	1
hs13	51354077	51454264	1
hs7	122075647	122144280	6
hs12	132687606	132704991	18
hs4	107989714	108035175	10
hs15	41230839	41281890	6
hs12	66188879	66254622	1
hs14	74056850	74084493	18
hs3	124761948	124901418	2
hs17	69147214	69244846	1
hs20	3667965	3682246	2
hs17	68974488	69061064	3
hs9	98807699	98850081	15
hs6	32041154	32115334	32
hs2	236567787	236582358	22
hs1	229516582	229558695	4
hs11	128965060	129279324	1
hs3	98521132	98593723	6
hs7	12211241	12243367	11
hs9	111631386	111670229	1
hs7	87503633	87713323	2
hs6	159760328	159779055	19
hs8	20246165	20303963	13
hs7	20615207	20777038	6
hs6	169215780	169254044	1
hs17	35005990	35089319	4
hs16	55389700	55506691	5
hs9	92383967	92404696	7
hs3	69739435	69968337	9
hs1	150796208	150808323	6
hs2	219209768	219218990	1
hs1	18871430	18902781	16
hsX	75053172	75156732	8
hs3	179604690	179627647	4
hs1	53196429	53214197	12
hs14	69191511	69244020	1
hs1	111448864	111462773	8
hs1	54184041	54225464	2
hs5	53560633	53683340	22
hs16	21952660	21983660	34
hs12	21797401	21941402	8
hs1	59814786	59876378	61
hsX	153724868	153744762	1
hs8	98102344	98117241	7
hs14	74285423	74303056	2
hs1	89364058	89386461	1
hs17	1633858	1645747	7
hs4	145097932	145129179	6
hs12	110533245	110583320	7
hs1	40979335	41012565	3
hs6	138773509	138793319	2
hs15	100877714	100916626	1
hs16	69339430	69343111	5
hs12	106991364	107093829	3
hs10	97356358	97426076	4
hs1	229626234	229660199	2
hs2	28894643	28948222	5
hs12	57768471	57772793	1
hs10	102132994	102150331	4
hs2	68157844	68176238	12
hs10	68956128	68985073	5
hs6	30571376	30597179	4
hs17	58083415	58095536	1
hs7	73736094	73738867	1
hs15	65117379	65133836	3
hs13	108218379	108234255	14
hs11	65892049	65900573	44
hs9	101533851	101563344	2
hs15	51952106	52067372	1
hs2	95165432	95184317	26
hs3	39141855	39154562	1
hs16	3018445	3022383	24
hs8	142212080	142403240	8
hs21	41986831	42010387	98
hs7	23597379	23644708	4
hs1	54756898	54764514	2
hsX	15319451	15335580	7
hs18	32091855	32131561	4
hs2	62196113	62224731	5
hs1	44800225	44805990	82
hs3	40524878	40574685	20
hs17	29560547	29567137	2
hs5	151100712	151157882	5
hs7	75986837	75994659	6
hs22	41576894	41589890	6
hs17	50094737	50112152	3
hs9	112379937	112472410	45
hs3	28315003	28349127	1
hs3	81489699	81762161	8
hs17	75038863	75046985	12
hs2	241558721	241574138	18
hs2	42048020	42058528	23
hs7	73593194	73624543	22
hsX	19533975	19887601	14
hs16	66878589	66895754	3
hs2	215996329	216082955	15
hs11	63573195	63616883	5
hs6	144150526	144188370	12
hs1	226897536	226987545	34
hs3	9757342	9769992	16
hs4	1009936	1026897	17
hs14	64388031	64463457	22
hs11	14643723	14872044	37
hs9	32384603	32454769	19
hs19	1876810	1885547	6
hs19	1905378	1913447	2
hs16	527717	554636	1
hs17	3668815	3669668	11
hs19	2328615	2354806	1
hs20	35953617	35959472	1
hs19	1941149	1981338	6
hs7	2403560	2448483	1
hs19	10832438	10836318	1
hs20	63520724	63522206	1
hs16	2513870	2520218	1
hs19	48469032	48482314	10
hs11	65890112	65891635	1
hs11	63974607	63976543	2
hs19	18418864	18434562	3
hs5	179793980	179796647	4
hs19	507497	519654	7
hs22	23894004	23895227	3
hs15	80679684	80755621	1
hs2	197486581	197516737	1
hs18	21650897	21704805	4
hs14	24094053	24110598	2
hs17	82035136	82037732	8
hs10	70815961	70881173	1
hs1	52927229	53051703	1
hs10	26746593	26861087	6
hs14	56117814	56301526	2
hs8	101492432	101669726	50
hs19	10572671	10587315	55
hs17	49210227	49223225	3
hs11	35138870	35232402	1
hs17	4710489	4721499	1
hs9	127738317	127778741	3
hs9	130713946	130887675	1
hs20	45948653	45972172	1
hs9	128203352	128255248	31
hs5	160347751	160370641	21
hs14	69259277	69357033	16
hs3	119294373	119420714	6
hs1	179099327	179229684	1
hsX	74585217	74614617	17
hs10	114431113	114685003	2
hs1	100266207	100292769	2
hs10	114120862	114174220	2
hs3	38103129	38137242	3
hs3	38007496	38029762	1
hs17	47837692	47841333	1
hs20	56392371	56406369	4
hs18	49782167	49813960	5
hs14	103529184	103537073	3
hs1	161197104	161214395	1
hs10	133362480	133373689	5
hs4	158672125	158709623	22
hs1	15736405	15741396	1
hs17	81900965	81911464	9
hs3	53224707	53256052	2
hs4	139495941	139606699	5
hs17	41866908	41930542	1
hs15	84816680	84873482	7
hs17	32142454	32253374	4
hs6	80106647	80346270	9
hs9	214854	465259	1
hs15	40764020	40767710	3
hs5	71587288	71658704	4
hs3	183015218	183116075	16
hs12	109116595	109268226	13
hs2	119429901	119438520	15
hs12	55720367	55724705	26
