"SUID","EdgeBetweenness","interaction","MI sano","MI_","MI_enfermos","name","selected","shared interaction","shared name"
"41067","4.99868742","0.273082",,,"0.273082","HSF1 (0.273082) SLC52A2","false","0.273082","HSF1 (0.273082) SLC52A2"
"41068","2.6","0.278786",,,"0.278786","HSF1 (0.278786) ZNF7","false","0.278786","HSF1 (0.278786) ZNF7"
"41069","5.49758331","0.315491",,,"0.315491","HSF1 (0.315491) SHARPIN","false","0.315491","HSF1 (0.315491) SHARPIN"
"41070","7.82783883","0.316971",,,"0.316971","HSF1 (0.316971) MAF1","false","0.316971","HSF1 (0.316971) MAF1"
"41071","9.88143373","0.366535",,,"0.366535","HSF1 (0.366535) ZC3H3","false","0.366535","HSF1 (0.366535) ZC3H3"
"41072","30.44506556","0.184059",,,"0.184059","TSTA3 (0.184059) ZNF623","false","0.184059","TSTA3 (0.184059) ZNF623"
"41073","6.55697081","0.226913",,,"0.226913","ZNF623 (0.226913) ZNF696","false","0.226913","ZNF623 (0.226913) ZNF696"
"41074","7.94186369","0.245972",,,"0.245972","ZNF623 (0.245972) ZNF707","false","0.245972","ZNF623 (0.245972) ZNF707"
"41075","2.6952381","0.390206",,,"0.390206","ZNF623 (0.390206) ZNF7","false","0.390206","ZNF623 (0.390206) ZNF7"
"41076","7.82500229","0.159476",,,"0.159476","CPSF1 (0.159476) ZNF623","false","0.159476","CPSF1 (0.159476) ZNF623"
"41077","5.75833563","0.160997",,,"0.160997","CPSF1 (0.160997) ZNF16","false","0.160997","CPSF1 (0.160997) ZNF16"
"41078","7.28214515","0.16971",,,"0.16971","CPSF1 (0.16971) ZNF7","false","0.16971","CPSF1 (0.16971) ZNF7"
"41079","4.7510545","0.179872",,,"0.179872","CPSF1 (0.179872) HGH1","false","0.179872","CPSF1 (0.179872) HGH1"
"41080","8.87247969","0.180509",,,"0.180509","CPSF1 (0.180509) TONSL","false","0.180509","CPSF1 (0.180509) TONSL"
"41081","5.49030414","0.180881",,,"0.180881","CPSF1 (0.180881) RECQL4","false","0.180881","CPSF1 (0.180881) RECQL4"
"41082","10.51728827","0.183484",,,"0.183484","CPSF1 (0.183484) CYHR1","false","0.183484","CPSF1 (0.183484) CYHR1"
"41083","4.44263466","0.18445",,,"0.18445","CPSF1 (0.18445) CYC1","false","0.18445","CPSF1 (0.18445) CYC1"
"41084","6.01961927","0.193775",,,"0.193775","CPSF1 (0.193775) EXOSC4","false","0.193775","CPSF1 (0.193775) EXOSC4"
"41085","8.51485736","0.195358",,,"0.195358","CPSF1 (0.195358) MAF1","false","0.195358","CPSF1 (0.195358) MAF1"
"41086","7.52757146","0.200366",,,"0.200366","CPSF1 (0.200366) MROH1","false","0.200366","CPSF1 (0.200366) MROH1"
"41087","10.72168387","0.203646",,,"0.203646","CPSF1 (0.203646) ZC3H3","false","0.203646","CPSF1 (0.203646) ZC3H3"
"41088","4.67243867","0.204727",,,"0.204727","CPSF1 (0.204727) FBXL6","false","0.204727","CPSF1 (0.204727) FBXL6"
"41089","8.56309753","0.205141",,,"0.205141","CPSF1 (0.205141) PUF60","false","0.205141","CPSF1 (0.205141) PUF60"
"41090","7.18214515","0.23969",,,"0.23969","CPSF1 (0.23969) HSF1","false","0.23969","CPSF1 (0.23969) HSF1"
"41091","4.16485736","0.240722",,,"0.240722","CPSF1 (0.240722) SHARPIN","false","0.240722","CPSF1 (0.240722) SHARPIN"
"41092","4.22800436","0.249143",,,"0.249143","CPSF1 (0.249143) VPS28","false","0.249143","CPSF1 (0.249143) VPS28"
"41093","7.49337884","0.22973",,,"0.22973","ZNF7 (0.22973) ZNF707","false","0.22973","ZNF7 (0.22973) ZNF707"
"41094","10.36643482","0.165394",,,"0.165394","MROH1 (0.165394) ZNF623","false","0.165394","MROH1 (0.165394) ZNF623"
"41095","10.11414045","0.178091",,,"0.178091","MROH1 (0.178091) SHARPIN","false","0.178091","MROH1 (0.178091) SHARPIN"
"41096","13.39818085","0.182635",,,"0.182635","MROH1 (0.182635) PUF60","false","0.182635","MROH1 (0.182635) PUF60"
"41097","57.15719261","0.184122",,,"0.184122","MROH1 (0.184122) RHPN1","false","0.184122","MROH1 (0.184122) RHPN1"
"41098","15.04731505","0.188698",,,"0.188698","MROH1 (0.188698) ZC3H3","false","0.188698","MROH1 (0.188698) ZC3H3"
"41099","5.87825175","0.199759",,,"0.199759","MROH1 (0.199759) PPP1R16A","false","0.199759","MROH1 (0.199759) PPP1R16A"
"41100","6.03878899","0.204097",,,"0.204097","MROH1 (0.204097) SCRIB","false","0.204097","MROH1 (0.204097) SCRIB"
"41101","9.93858489","0.205772",,,"0.205772","MROH1 (0.205772) ZNF7","false","0.205772","MROH1 (0.205772) ZNF7"
"41102","7.97424146","0.221966",,,"0.221966","MROH1 (0.221966) SLC52A2","false","0.221966","MROH1 (0.221966) SLC52A2"
"41103","12.21981304","0.159304",,,"0.159304","FBXL6 (0.159304) ZNF7","false","0.159304","FBXL6 (0.159304) ZNF7"
"41104","7.09137336","0.161109",,,"0.161109","FBXL6 (0.161109) TONSL","false","0.161109","FBXL6 (0.161109) TONSL"
"41105","15.61016936","0.162254",,,"0.162254","FBXL6 (0.162254) ZC3H3","false","0.162254","FBXL6 (0.162254) ZC3H3"
"41106","7.6017316","0.173224",,,"0.173224","FBXL6 (0.173224) SLC52A2","false","0.173224","FBXL6 (0.173224) SLC52A2"
"41107","12.52457494","0.191378",,,"0.191378","FBXL6 (0.191378) HSF1","false","0.191378","FBXL6 (0.191378) HSF1"
"41108","11.8817178","0.194373",,,"0.194373","FBXL6 (0.194373) PUF60","false","0.194373","FBXL6 (0.194373) PUF60"
"41109","6.2969697","0.20118",,,"0.20118","FBXL6 (0.20118) VPS28","false","0.20118","FBXL6 (0.20118) VPS28"
"41110","5.43174603","0.220006",,,"0.220006","FBXL6 (0.220006) TSTA3","false","0.220006","FBXL6 (0.220006) TSTA3"
"41111","6.29300144","0.231953",,,"0.231953","FBXL6 (0.231953) SHARPIN","false","0.231953","FBXL6 (0.231953) SHARPIN"
"41112","5.85252525","0.233886",,,"0.233886","FBXL6 (0.233886) HGH1","false","0.233886","FBXL6 (0.233886) HGH1"
"41113","2.0","0.260344",,,"0.260344","ADCY3 (0.260344) CENPO","false","0.260344","ADCY3 (0.260344) CENPO"
"41114","5.98333333","0.160065",,,"0.160065","ADD1 (0.160065) LETM1","false","0.160065","ADD1 (0.160065) LETM1"
"41115","12.23809524","0.163332",,,"0.163332","ADD1 (0.163332) TNIP2","false","0.163332","ADD1 (0.163332) TNIP2"
"41116","13.17777778","0.163398",,,"0.163398","ADD1 (0.163398) TMEM128","false","0.163398","ADD1 (0.163398) TMEM128"
"41117","12.8565873","0.166461",,,"0.166461","ADD1 (0.166461) MRFAP1L1","false","0.166461","ADD1 (0.166461) MRFAP1L1"
"41118","13.00952381","0.170943",,,"0.170943","ADD1 (0.170943) GAK","false","0.170943","ADD1 (0.170943) GAK"
"41119","16.23809524","0.172153",,,"0.172153","ADD1 (0.172153) NOP14-AS1","false","0.172153","ADD1 (0.172153) NOP14-AS1"
"41120","5.16031746","0.172413",,,"0.172413","ADD1 (0.172413) TACC3","false","0.172413","ADD1 (0.172413) TACC3"
"41121","14.62761905","0.177365",,,"0.177365","ADD1 (0.177365) MAEA","false","0.177365","ADD1 (0.177365) MAEA"
"41122","17.83570818","0.17841",,,"0.17841","ADD1 (0.17841) CTBP1","false","0.17841","ADD1 (0.17841) CTBP1"
"41123","15.40531136","0.184496",,,"0.184496","ADD1 (0.184496) NOP14","false","0.184496","ADD1 (0.184496) NOP14"
"41124","8.0947619","0.187235",,,"0.187235","ADD1 (0.187235) HAUS3","false","0.187235","ADD1 (0.187235) HAUS3"
"41125","25.65714286","0.199155",,,"0.199155","ADD1 (0.199155) MFSD10","false","0.199155","ADD1 (0.199155) MFSD10"
"41126","5.30238095","0.226674",,,"0.226674","ADD1 (0.226674) NELFA","false","0.226674","ADD1 (0.226674) NELFA"
"41127","8.69126984","0.233984",,,"0.233984","ADD1 (0.233984) WHSC1","false","0.233984","ADD1 (0.233984) WHSC1"
