hs2	119366921	119372560	hs2	208236227	208266074
hs19	48795062	48811029	hs19	41397460	41431345
hs16	75111860	75116771	hs16	21952660	21983660
hs17	37084988	37406818	hs17	81900965	81911464
hs17	37084988	37406818	hs17	41866908	41930542
hs17	37084988	37406818	hs17	32142454	32253374
hs17	37084988	37406818	hs17	82078333	82098332
hs15	67201033	67255195	hs15	65530418	65578352
hs2	218264123	218270257	hs2	219279267	219286900
hs2	218264123	218270257	hs2	27381194	27409687
hs9	136862119	136866286	hs9	129608884	129636131
hs11	65961689	65979828	hs11	57299638	57324952
hs11	65961689	65979828	hs11	62676498	62679117
hs13	51354077	51454264	hs13	28138506	28295335
hs13	51354077	51454264	hs13	19823482	19863636
hs9	98807699	98850081	hs9	36036433	36124451
hs3	98521132	98593723	hs3	179347692	179394931
hs9	111631386	111670229	hs9	76385517	76394517
hs9	111631386	111670229	hs9	111661335	111670246
hs8	20246165	20303963	hs8	119165034	119245673
hs1	18871430	18902781	hs1	148808181	149048286
hs3	179604690	179627647	hs3	177019355	177197396
hs3	179604690	179627647	hs3	98732236	98821201
hs1	53196429	53214197	hs1	220094102	220148041
hs1	53196429	53214197	hs1	54184041	54225464
hs14	69191511	69244020	hs14	96501433	96567111
hs1	111448864	111462773	hs1	17018722	17054170
hs1	111448864	111462773	hs1	53196429	53214197
hs1	111448864	111462773	hs1	54184041	54225464
hs1	59814786	59876378	hs1	153606886	153613145
hs1	59814786	59876378	hs1	26949562	26960406
hs1	59814786	59876378	hs1	161070995	161089599
hs1	59814786	59876378	hs1	201373244	201399915
hs1	59814786	59876378	hs1	156061160	156070514
hs12	57768471	57772793	hs12	130871879	130877678
hs10	102132994	102150331	hs10	97356358	97426076
hs2	68157844	68176238	hs2	28894643	28948222
hs10	68956128	68985073	hs10	102152176	102163871
hs10	68956128	68985073	hs10	102132994	102150331
hs3	39141855	39154562	hs3	185915906	185938136
hs3	39141855	39154562	hs3	52048919	52056550
hs3	39141855	39154562	hs3	156673235	156706770
hs1	54756898	54764514	hs1	45339670	45343975
hs1	54756898	54764514	hs1	55066359	55215113
hs1	54756898	54764514	hs1	27959462	27968096
hs1	54756898	54764514	hs1	44800225	44805990
hs18	32091855	32131561	hs18	9334767	9402420
hs1	44800225	44805990	hs1	9539482	9585179
hs1	44800225	44805990	hs1	45339670	45343975
hs1	44800225	44805990	hs1	204403387	204411791
hs17	29560547	29567137	hs17	50094737	50112152
hs17	29560547	29567137	hs17	75038863	75046985
hs17	50094737	50112152	hs17	7281667	7288257
hs2	241558721	241574138	hs2	215996329	216082955
hs2	42048020	42058528	hs2	63840940	63891562
hs2	42048020	42058528	hs2	201387858	201480846
hs1	226897536	226987545	hs1	59814786	59876378
hs1	226897536	226987545	hs1	46632737	46673867
hs1	226897536	226987545	hs1	173477266	173488807
hs1	226897536	226987545	hs1	220786759	220819657
hs1	226897536	226987545	hs1	212285537	212361863
hs1	226897536	226987545	hs1	161070995	161089599
hs3	9757342	9769992	hs3	81489699	81762161
hs4	1009936	1026897	hs4	107989714	108035175
hs14	64388031	64463457	hs14	67647075	67674831
hs11	14643723	14872044	hs11	111602391	111730853
hs9	32384603	32454769	hs9	112379937	112472410
hs9	32384603	32454769	hs9	136673143	136687423
hs19	1876810	1885547	hs19	1905378	1913447
